;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 15/04/2022 18:39:38
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_Math.c,1552 :: 		
0x02FF	0x3001      	MOVLW      1
;__Lib_Math.c,1553 :: 		
0x0300	0x02A1      	SUBWF      ___math_tempb, 1
;__Lib_Math.c,1554 :: 		
0x0301	0x2B13      	GOTO       UOK22L16
;__Lib_Math.c,1556 :: 		
UADD22L16:
;__Lib_Math.c,1557 :: 		
0x0302	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1558 :: 		
0x0303	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1559 :: 		
0x0304	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1560 :: 		
0x0305	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1561 :: 		
0x0306	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1562 :: 		
0x0307	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1563 :: 		
0x0308	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1564 :: 		
0x0309	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1565 :: 		
0x030A	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1566 :: 		
0x030B	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1567 :: 		
0x030C	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1568 :: 		
0x030D	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1569 :: 		
0x030E	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1570 :: 		
0x030F	0x0100      	CLRW
;__Lib_Math.c,1571 :: 		
0x0310	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1572 :: 		
0x0311	0x3001      	MOVLW      1
;__Lib_Math.c,1573 :: 		
0x0312	0x07A1      	ADDWF      ___math_tempb, 1
;__Lib_Math.c,1575 :: 		
UOK22L16:
;__Lib_Math.c,1576 :: 		
0x0313	0x0DF1      	RLF        R1, 1
;__Lib_Math.c,1578 :: 		
0x0314	0x3007      	MOVLW      7
;__Lib_Math.c,1579 :: 		
0x0315	0x00FC      	MOVWF      R12
;__Lib_Math.c,1581 :: 		
LOOPU3232C:
;__Lib_Math.c,1582 :: 		
0x0316	0x0D71      	RLF        R1, 0
;__Lib_Math.c,1583 :: 		
0x0317	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,1584 :: 		
0x0318	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,1585 :: 		
0x0319	0x0DFA      	RLF        R10, 1
;__Lib_Math.c,1586 :: 		
0x031A	0x0DFB      	RLF        R11, 1
;__Lib_Math.c,1587 :: 		
0x031B	0x0DA1      	RLF        ___math_tempb, 1
;__Lib_Math.c,1588 :: 		
0x031C	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1589 :: 		
0x031D	0x1C71      	BTFSS      R1, 0
;__Lib_Math.c,1590 :: 		
0x031E	0x2B31      	GOTO       UADD22LC
;__Lib_Math.c,1592 :: 		
0x031F	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,1593 :: 		
0x0320	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1594 :: 		
0x0321	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1595 :: 		
0x0322	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1596 :: 		
0x0323	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,1597 :: 		
0x0324	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1598 :: 		
0x0325	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1599 :: 		
0x0326	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1600 :: 		
0x0327	0x02FA      	SUBWF      R10, 1
;__Lib_Math.c,1601 :: 		
0x0328	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1602 :: 		
0x0329	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1603 :: 		
0x032A	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1604 :: 		
0x032B	0x02FB      	SUBWF      R11, 1
;__Lib_Math.c,1605 :: 		
0x032C	0x0100      	CLRW
;__Lib_Math.c,1606 :: 		
0x032D	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1607 :: 		
0x032E	0x3001      	MOVLW      1
;__Lib_Math.c,1608 :: 		
0x032F	0x02A1      	SUBWF      ___math_tempb, 1
;__Lib_Math.c,1609 :: 		
0x0330	0x2B42      	GOTO       UOK22LC
;__Lib_Math.c,1611 :: 		
UADD22LC:
;__Lib_Math.c,1612 :: 		
0x0331	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1613 :: 		
0x0332	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1614 :: 		
0x0333	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1615 :: 		
0x0334	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1616 :: 		
0x0335	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1617 :: 		
0x0336	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1618 :: 		
0x0337	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1619 :: 		
0x0338	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1620 :: 		
0x0339	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1621 :: 		
0x033A	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1622 :: 		
0x033B	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1623 :: 		
0x033C	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1624 :: 		
0x033D	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1625 :: 		
0x033E	0x0100      	CLRW
;__Lib_Math.c,1626 :: 		
0x033F	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1627 :: 		
0x0340	0x3001      	MOVLW      1
;__Lib_Math.c,1628 :: 		
0x0341	0x07A1      	ADDWF      ___math_tempb, 1
;__Lib_Math.c,1630 :: 		
UOK22LC:
;__Lib_Math.c,1631 :: 		
0x0342	0x0DF1      	RLF        R1, 1
;__Lib_Math.c,1633 :: 		
0x0343	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,1634 :: 		
0x0344	0x2B16      	GOTO       LOOPU3232C
;__Lib_Math.c,1636 :: 		
0x0345	0x0D70      	RLF        R0, 0
;__Lib_Math.c,1637 :: 		
0x0346	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,1638 :: 		
0x0347	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,1639 :: 		
0x0348	0x0DFA      	RLF        R10, 1
;__Lib_Math.c,1640 :: 		
0x0349	0x0DFB      	RLF        R11, 1
;__Lib_Math.c,1641 :: 		
0x034A	0x0DA1      	RLF        ___math_tempb, 1
;__Lib_Math.c,1642 :: 		
0x034B	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1643 :: 		
0x034C	0x1C71      	BTFSS      R1, 0
;__Lib_Math.c,1644 :: 		
0x034D	0x2B60      	GOTO       UADD22L24
;__Lib_Math.c,1646 :: 		
0x034E	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,1647 :: 		
0x034F	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1648 :: 		
0x0350	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1649 :: 		
0x0351	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1650 :: 		
0x0352	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,1651 :: 		
0x0353	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1652 :: 		
0x0354	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1653 :: 		
0x0355	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1654 :: 		
0x0356	0x02FA      	SUBWF      R10, 1
;__Lib_Math.c,1655 :: 		
0x0357	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1656 :: 		
0x0358	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1657 :: 		
0x0359	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1658 :: 		
0x035A	0x02FB      	SUBWF      R11, 1
;__Lib_Math.c,1659 :: 		
0x035B	0x0100      	CLRW
;__Lib_Math.c,1660 :: 		
0x035C	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1661 :: 		
0x035D	0x3001      	MOVLW      1
;__Lib_Math.c,1662 :: 		
0x035E	0x02A1      	SUBWF      ___math_tempb, 1
;__Lib_Math.c,1663 :: 		
0x035F	0x2B71      	GOTO       UOK22L24
;__Lib_Math.c,1665 :: 		
UADD22L24:
;__Lib_Math.c,1666 :: 		
0x0360	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1667 :: 		
0x0361	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1668 :: 		
0x0362	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1669 :: 		
0x0363	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1670 :: 		
0x0364	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1671 :: 		
0x0365	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1672 :: 		
0x0366	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1673 :: 		
0x0367	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1674 :: 		
0x0368	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1675 :: 		
0x0369	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1676 :: 		
0x036A	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1677 :: 		
0x036B	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1678 :: 		
0x036C	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1679 :: 		
0x036D	0x0100      	CLRW
;__Lib_Math.c,1680 :: 		
0x036E	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1681 :: 		
0x036F	0x3001      	MOVLW      1
;__Lib_Math.c,1682 :: 		
0x0370	0x07A1      	ADDWF      ___math_tempb, 1
;__Lib_Math.c,1684 :: 		
UOK22L24:
;__Lib_Math.c,1685 :: 		
0x0371	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,1687 :: 		
0x0372	0x3007      	MOVLW      7
;__Lib_Math.c,1688 :: 		
0x0373	0x00FC      	MOVWF      R12
;__Lib_Math.c,1690 :: 		
LOOPU3232D:
;__Lib_Math.c,1691 :: 		
0x0374	0x0D70      	RLF        R0, 0
;__Lib_Math.c,1692 :: 		
0x0375	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,1693 :: 		
0x0376	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,1694 :: 		
0x0377	0x0DFA      	RLF        R10, 1
;__Lib_Math.c,1695 :: 		
0x0378	0x0DFB      	RLF        R11, 1
;__Lib_Math.c,1696 :: 		
0x0379	0x0DA1      	RLF        ___math_tempb, 1
;__Lib_Math.c,1697 :: 		
0x037A	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1698 :: 		
0x037B	0x1C70      	BTFSS      R0, 0
;__Lib_Math.c,1699 :: 		
0x037C	0x2B8F      	GOTO       UADD22LD
;__Lib_Math.c,1701 :: 		
0x037D	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,1702 :: 		
0x037E	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1703 :: 		
0x037F	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1704 :: 		
0x0380	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1705 :: 		
0x0381	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,1706 :: 		
0x0382	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1707 :: 		
0x0383	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1708 :: 		
0x0384	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1709 :: 		
0x0385	0x02FA      	SUBWF      R10, 1
;__Lib_Math.c,1710 :: 		
0x0386	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1711 :: 		
0x0387	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1712 :: 		
0x0388	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1713 :: 		
0x0389	0x02FB      	SUBWF      R11, 1
;__Lib_Math.c,1714 :: 		
0x038A	0x0100      	CLRW
;__Lib_Math.c,1715 :: 		
0x038B	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1716 :: 		
0x038C	0x3001      	MOVLW      1
;__Lib_Math.c,1717 :: 		
0x038D	0x02A1      	SUBWF      ___math_tempb, 1
;__Lib_Math.c,1718 :: 		
0x038E	0x2BA0      	GOTO       UOK22LD
;__Lib_Math.c,1720 :: 		
UADD22LD:
;__Lib_Math.c,1721 :: 		
0x038F	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1722 :: 		
0x0390	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1723 :: 		
0x0391	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1724 :: 		
0x0392	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1725 :: 		
0x0393	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1726 :: 		
0x0394	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1727 :: 		
0x0395	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1728 :: 		
0x0396	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1729 :: 		
0x0397	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1730 :: 		
0x0398	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1731 :: 		
0x0399	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1732 :: 		
0x039A	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1733 :: 		
0x039B	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1734 :: 		
0x039C	0x0100      	CLRW
;__Lib_Math.c,1735 :: 		
0x039D	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1736 :: 		
0x039E	0x3001      	MOVLW      1
;__Lib_Math.c,1737 :: 		
0x039F	0x07A1      	ADDWF      ___math_tempb, 1
;__Lib_Math.c,1739 :: 		
UOK22LD:
;__Lib_Math.c,1740 :: 		
0x03A0	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,1742 :: 		
0x03A1	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,1743 :: 		
0x03A2	0x2B74      	GOTO       LOOPU3232D
;__Lib_Math.c,1745 :: 		
0x03A3	0x1870      	BTFSC      R0, 0
;__Lib_Math.c,1746 :: 		
0x03A4	0x2BB3      	GOTO       UOK22L
;__Lib_Math.c,1747 :: 		
0x03A5	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1748 :: 		
0x03A6	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1749 :: 		
0x03A7	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1750 :: 		
0x03A8	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1751 :: 		
0x03A9	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1752 :: 		
0x03AA	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1753 :: 		
0x03AB	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1754 :: 		
0x03AC	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1755 :: 		
0x03AD	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1756 :: 		
0x03AE	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1757 :: 		
0x03AF	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1758 :: 		
0x03B0	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1759 :: 		
0x03B1	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1760 :: 		
0x03B2	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1762 :: 		
UOK22L:
;__Lib_Math.c,1765 :: 		
L_end_Div_32x32_U:
0x03B3	0x0008      	RETURN
; end of _Div_32x32_U
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x03B4	0x1683      	BSF        STATUS, 5
0x03B5	0x1303      	BCF        STATUS, 6
0x03B6	0x1022      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,53 :: 		
0x03B7	0x084D      	MOVF       FARG_Lcd_Chr_CP_out_char, 0
0x03B8	0x00CF      	MOVWF      FARG_Lcd_Cmd_out_char
0x03B9	0x214C      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x03BA	0x1683      	BSF        STATUS, 5
0x03BB	0x1422      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x03BC	0x0008      	RETURN
; end of _Lcd_Chr_CP
_Delay_22us:
;__Lib_Delays.c,15 :: 		void Delay_22us() {
;__Lib_Delays.c,16 :: 		Delay_us(22);
0x03BD	0x300E      	MOVLW      14
0x03BE	0x1283      	BCF        STATUS, 5
0x03BF	0x1303      	BCF        STATUS, 6
0x03C0	0x00FD      	MOVWF      R13
L_Delay_22us1:
0x03C1	0x0BFD      	DECFSZ     R13, 1
0x03C2	0x2BC1      	GOTO       L_Delay_22us1
0x03C3	0x0000      	NOP
;__Lib_Delays.c,17 :: 		}
L_end_Delay_22us:
0x03C4	0x0008      	RETURN
; end of _Delay_22us
_____DoICP:
;__Lib_System.c,6 :: 		
;__Lib_System.c,9 :: 		
0x03C5	0x1683      	BSF        STATUS, 5
0x03C6	0x1303      	BCF        STATUS, 6
0x03C7	0x0821      	MOVF       ___DoICPAddr+1, 0
0x03C8	0x008A      	MOVWF      PCLATH
;__Lib_System.c,10 :: 		
0x03C9	0x0820      	MOVF       ___DoICPAddr, 0
0x03CA	0x0082      	MOVWF      PCL
;__Lib_System.c,12 :: 		
L_end_____DoICP:
0x03CB	0x0008      	RETURN
; end of _____DoICP
_Mul_32x32_FP:
;__Lib_MathDouble.c,610 :: 		
;__Lib_MathDouble.c,622 :: 		
;__Lib_MathDouble.c,624 :: 		
0x03CC	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,625 :: 		
0x03CD	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,627 :: 		
0x03CE	0x01FB      	CLRF       R11
;__Lib_MathDouble.c,628 :: 		
0x03CF	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,629 :: 		
0x03D0	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,630 :: 		
0x03D1	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,631 :: 		
0x03D2	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,632 :: 		
0x03D3	0x2C23      	GOTO       JPMRES032
;__Lib_MathDouble.c,634 :: 		
0x03D4	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,635 :: 		
0x03D5	0x0676      	XORWF      R6, 0
;__Lib_MathDouble.c,636 :: 		
0x03D6	0x00FA      	MOVWF      R10
;__Lib_MathDouble.c,637 :: 		
0x03D7	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,638 :: 		
0x03D8	0x07F3      	ADDWF      R3, 1
;__Lib_MathDouble.c,639 :: 		
0x03D9	0x307E      	MOVLW      126
;__Lib_MathDouble.c,640 :: 		
0x03DA	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,641 :: 		
0x03DB	0x2BE0      	GOTO       MTUN32
;__Lib_MathDouble.c,642 :: 		
0x03DC	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,643 :: 		
0x03DD	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,644 :: 		
0x03DE	0x2C26      	GOTO       JPMSETFOV32
;__Lib_MathDouble.c,645 :: 		
0x03DF	0x2BE3      	GOTO       MOK32
;__Lib_MathDouble.c,646 :: 		
MTUN32:
;__Lib_MathDouble.c,647 :: 		
0x03E0	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,648 :: 		
0x03E1	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,649 :: 		
0x03E2	0x2C29      	GOTO       JPMSETFUN32
;__Lib_MathDouble.c,650 :: 		
MOK32:
;__Lib_MathDouble.c,651 :: 		
0x03E3	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,652 :: 		
0x03E4	0x00F8      	MOVWF      R8
;__Lib_MathDouble.c,653 :: 		
0x03E5	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,654 :: 		
0x03E6	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,655 :: 		
0x03E7	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,656 :: 		
0x03E8	0x00FD      	MOVWF      R13
;__Lib_MathDouble.c,657 :: 		
0x03E9	0x17F8      	BSF        R8, 7
;__Lib_MathDouble.c,658 :: 		
0x03EA	0x17F6      	BSF        R6, 7
;__Lib_MathDouble.c,659 :: 		
0x03EB	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,660 :: 		
0x03EC	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,661 :: 		
0x03ED	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,662 :: 		
0x03EE	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,663 :: 		
0x03EF	0x3018      	MOVLW      24
;__Lib_MathDouble.c,664 :: 		
0x03F0	0x00A0      	MOVWF      __math_tempbD
;__Lib_MathDouble.c,665 :: 		
MLOOP32:
;__Lib_MathDouble.c,666 :: 		
0x03F1	0x1C7D      	BTFSS      R13, 0
;__Lib_MathDouble.c,667 :: 		
0x03F2	0x2BFD      	GOTO       MNOADD32
;__Lib_MathDouble.c,669 :: 		
0x03F3	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,670 :: 		
0x03F4	0x07F0      	ADDWF      R0, 1
;__Lib_MathDouble.c,671 :: 		
0x03F5	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,672 :: 		
0x03F6	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,673 :: 		
0x03F7	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,674 :: 		
0x03F8	0x07F1      	ADDWF      R1, 1
;__Lib_MathDouble.c,675 :: 		
0x03F9	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,676 :: 		
0x03FA	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,677 :: 		
0x03FB	0x0F76      	INCFSZ     R6, 0
;__Lib_MathDouble.c,678 :: 		
0x03FC	0x07F2      	ADDWF      R2, 1
;__Lib_MathDouble.c,679 :: 		
MNOADD32:
;__Lib_MathDouble.c,680 :: 		
0x03FD	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,681 :: 		
0x03FE	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,682 :: 		
0x03FF	0x0CF0      	RRF        R0, 1
;__Lib_MathDouble.c,683 :: 		
0x0400	0x0CF8      	RRF        R8, 1
;__Lib_MathDouble.c,684 :: 		
0x0401	0x0CFC      	RRF        R12, 1
;__Lib_MathDouble.c,685 :: 		
0x0402	0x0CFD      	RRF        R13, 1
;__Lib_MathDouble.c,686 :: 		
0x0403	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,687 :: 		
0x0404	0x0BA0      	DECFSZ     __math_tempbD, 1
;__Lib_MathDouble.c,688 :: 		
0x0405	0x2BF1      	GOTO       MLOOP32
;__Lib_MathDouble.c,689 :: 		
0x0406	0x1BF2      	BTFSC      R2, 7
;__Lib_MathDouble.c,690 :: 		
0x0407	0x2C0D      	GOTO       MROUND32
;__Lib_MathDouble.c,691 :: 		
0x0408	0x0DF8      	RLF        R8, 1
;__Lib_MathDouble.c,692 :: 		
0x0409	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,693 :: 		
0x040A	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,694 :: 		
0x040B	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,695 :: 		
0x040C	0x03F3      	DECF       R3, 1
;__Lib_MathDouble.c,696 :: 		
MROUND32:
;__Lib_MathDouble.c,697 :: 		
0x040D	0x1B7B      	BTFSC      R11, 6
;__Lib_MathDouble.c,698 :: 		
0x040E	0x1C70      	BTFSS      R0, 0
;__Lib_MathDouble.c,699 :: 		
0x040F	0x2C1F      	GOTO       MUL32OK
;__Lib_MathDouble.c,700 :: 		
0x0410	0x1FF8      	BTFSS      R8, 7
;__Lib_MathDouble.c,701 :: 		
0x0411	0x2C1F      	GOTO       MUL32OK
;__Lib_MathDouble.c,702 :: 		
0x0412	0x0AF0      	INCF       R0, 1
;__Lib_MathDouble.c,703 :: 		
0x0413	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,704 :: 		
0x0414	0x0AF1      	INCF       R1, 1
;__Lib_MathDouble.c,705 :: 		
0x0415	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,706 :: 		
0x0416	0x0AF2      	INCF       R2, 1
;__Lib_MathDouble.c,707 :: 		
0x0417	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,708 :: 		
0x0418	0x2C1F      	GOTO       MUL32OK
;__Lib_MathDouble.c,709 :: 		
0x0419	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,710 :: 		
0x041A	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,711 :: 		
0x041B	0x0CF0      	RRF        R0, 1
;__Lib_MathDouble.c,712 :: 		
0x041C	0x0AF3      	INCF       R3, 1
;__Lib_MathDouble.c,713 :: 		
0x041D	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,714 :: 		
0x041E	0x2C26      	GOTO       JPMSETFOV32
;__Lib_MathDouble.c,715 :: 		
MUL32OK:
;__Lib_MathDouble.c,716 :: 		
0x041F	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,717 :: 		
0x0420	0x13F2      	BCF        R2, 7
;__Lib_MathDouble.c,718 :: 		
0x0421	0x3000      	MOVLW      0
;__Lib_MathDouble.c,720 :: 		
0x0422	0x2C2B      	GOTO       MUL32EEE
;__Lib_MathDouble.c,721 :: 		
JPMRES032:
;__Lib_MathDouble.c,722 :: 		
0x0423	0x3001      	MOVLW      1
;__Lib_MathDouble.c,725 :: 		
0x0424	0x21B6      	CALL       _RES032
;__Lib_MathDouble.c,727 :: 		
0x0425	0x2C2B      	GOTO       MUL32EEE
;__Lib_MathDouble.c,728 :: 		
JPMSETFOV32:
;__Lib_MathDouble.c,729 :: 		
0x0426	0x3002      	MOVLW      2
;__Lib_MathDouble.c,732 :: 		
0x0427	0x21AA      	CALL       _SETFOV32
;__Lib_MathDouble.c,734 :: 		
0x0428	0x2C2B      	GOTO       MUL32EEE
;__Lib_MathDouble.c,735 :: 		
JPMSETFUN32:
;__Lib_MathDouble.c,736 :: 		
0x0429	0x3004      	MOVLW      4
;__Lib_MathDouble.c,739 :: 		
0x042A	0x2140      	CALL       _SETFUN32
;__Lib_MathDouble.c,741 :: 		
MUL32EEE:
;__Lib_MathDouble.c,742 :: 		
0x042B	0x0000      	NOP
;__Lib_MathDouble.c,749 :: 		
L_end_Mul_32x32_FP:
0x042C	0x0008      	RETURN
; end of _Mul_32x32_FP
_strcpy:
;__Lib_CString.c,126 :: 		
;__Lib_CString.c,129 :: 		
0x042D	0x1683      	BSF        STATUS, 5
0x042E	0x1303      	BCF        STATUS, 6
0x042F	0x084D      	MOVF       FARG_strcpy_to, 0
